value
420
 ashes
 atshitshi
 aunt mary
 bammy
 baby bhang
 blanket
 blunt
 bo-bo
 bobo bush
 bomber
 boom
 bud
 broccoli
 cheeba
 chronic
 cripple
 dagga
 dope
 dinkie dow
 ding
 dona juana
 dona juanita
 flower
 flower power
 flower tops
 ganja
 gasper
 giggle smoke
 giggle weed
 good giggles
 good butt
 grass
 green
 hash
 herb
 hot stick
 jane
 jay
 jolly green
 jolly green giant
 joy smoke
 joy stick
 mj
 maryjane
 mary jane
 pot
 roach
 reefer
 skunk
 smoke
 trees
 weed
black mamba
 bombay blue
 fake weed
 genie
 k2
 moon rocks
 spice
 zohai
