year,lyr_des,gen_cate,lyr_gen,n_lyr,n_gen,n_lyr_gen,total,p_lyrics,p_lyr_lci,p_lyr_uci,p_genre,p_gen_lci,p_gen_uci,p_lyrgen,p_lyrgen_lci,p_lyrgen_uci
1999,alcohol,country,"alcohol,country",616,419,136,2233,0.27586206896551724,0.2575021445366033,0.2950011325970169,0.1876399462606359,0.17177178557119654,0.2045957894767022,0.324582338902148,0.2803793712723445,0.37205699693934974
1999,alcohol,hiphop,"alcohol,hiphop",616,550,126,2233,0.27586206896551724,0.2575021445366033,0.2950011325970169,0.24630541871921183,0.22866249649477796,0.26483061548957,0.2290909090909091,0.19506584366476942,0.26697083713018915
1999,alcohol,rap,"alcohol,rap",616,403,161,2233,0.27586206896551724,0.2575021445366033,0.2950011325970169,0.18047469771607702,0.16486067342212982,0.1972015844951264,0.39950372208436724,0.35164496544955365,0.44930927685576777
1999,alcohol,rock,"alcohol,rock",616,611,120,2233,0.27586206896551724,0.2575021445366033,0.2950011325970169,0.2736229287953426,0.25531364305980714,0.2927191610685087,0.19639934533551553,0.16607293482997929,0.23061754769128698
1999,marijuana,country,"marijuana,country",692,419,108,2233,0.309896999552172,0.2908365344887424,0.32961802939504986,0.1876399462606359,0.17177178557119654,0.2045957894767022,0.2577565632458234,0.21708880001783726,0.3029504933327844
1999,marijuana,hiphop,"marijuana,hiphop",692,550,142,2233,0.309896999552172,0.2908365344887424,0.32961802939504986,0.24630541871921183,0.22866249649477796,0.26483061548957,0.2581818181818182,0.2225118894657142,0.2972892634539486
1999,marijuana,rap,"marijuana,rap",692,403,256,2233,0.309896999552172,0.2908365344887424,0.32961802939504986,0.18047469771607702,0.16486067342212982,0.1972015844951264,0.6352357320099256,0.5859045437491128,0.6819460115284713
1999,marijuana,rock,"marijuana,rock",692,611,135,2233,0.309896999552172,0.2908365344887424,0.32961802939504986,0.2736229287953426,0.25531364305980714,0.2927191610685087,0.220949263502455,0.18908237858570479,0.25638944902014554
1999,other,country,"other,country",2105,419,418,2233,0.9426780116435289,0.9320134789236707,0.9517868988984086,0.1876399462606359,0.17177178557119654,0.2045957894767022,0.9976133651551312,0.9846474754492771,0.9998754047246873
1999,other,hiphop,"other,hiphop",2105,550,498,2233,0.9426780116435289,0.9320134789236707,0.9517868988984086,0.24630541871921183,0.22866249649477796,0.26483061548957,0.9054545454545454,0.8771072123541616,0.9279703820141523
1999,other,rap,"other,rap",2105,403,403,2233,0.9426780116435289,0.9320134789236707,0.9517868988984086,0.18047469771607702,0.16486067342212982,0.1972015844951264,1,0.9882294307651125,1
1999,other,rock,"other,rock",2105,611,538,2233,0.9426780116435289,0.9320134789236707,0.9517868988984086,0.2736229287953426,0.25531364305980714,0.2927191610685087,0.8805237315875614,0.8515105149036444,0.9046318292267224
2000,alcohol,country,"alcohol,country",1297,816,267,4822,0.2689755288262132,0.25654522520054845,0.2817766775639563,0.16922438822065533,0.1588046216911819,0.18017591774265002,0.3272058823529412,0.29529386429212734,0.36076793196456597
2000,alcohol,hiphop,"alcohol,hiphop",1297,1470,376,4822,0.2689755288262132,0.25654522520054845,0.2817766775639563,0.3048527581916217,0.2919167183746253,0.31810195781749356,0.25578231292517006,0.23380570556949992,0.27905137245012684
2000,alcohol,rap,"alcohol,rap",1297,887,406,4822,0.2689755288262132,0.25654522520054845,0.2817766775639563,0.18394856905848195,0.17316481525973643,0.19524025626459207,0.4577226606538895,0.42463037010493243,0.4911858203927483
2000,alcohol,rock,"alcohol,rock",1297,1085,243,4822,0.2689755288262132,0.25654522520054845,0.2817766775639563,0.2250103691414351,0.21334377250922454,0.23711860870169962,0.223963133640553,0.1997141780475477,0.2501959100075822
2000,marijuana,country,"marijuana,country",1577,816,214,4822,0.3270427208627126,0.31384112683061094,0.3405218245648747,0.16922438822065533,0.1588046216911819,0.18017591774265002,0.2622549019607843,0.23265187049697586,0.2941309934963154
2000,marijuana,hiphop,"marijuana,hiphop",1577,1470,728,4822,0.3270427208627126,0.31384112683061094,0.3405218245648747,0.3048527581916217,0.2919167183746253,0.31810195781749356,0.49523809523809526,0.46938599821326105,0.5211153452837282
2000,marijuana,rap,"marijuana,rap",1577,887,694,4822,0.3270427208627126,0.31384112683061094,0.3405218245648747,0.18394856905848195,0.17316481525973643,0.19524025626459207,0.7824126268320181,0.753486435358132,0.8088527931002476
2000,marijuana,rock,"marijuana,rock",1577,1085,215,4822,0.3270427208627126,0.31384112683061094,0.3405218245648747,0.2250103691414351,0.21334377250922454,0.23711860870169962,0.19815668202764977,0.17508275285784014,0.22340169841564567
2000,other,country,"other,country",4467,816,753,4822,0.9263790958108669,0.9185553857875438,0.9335144593939814,0.16922438822065533,0.1588046216911819,0.18017591774265002,0.9227941176470589,0.9017595987012859,0.9397350550817827
2000,other,hiphop,"other,hiphop",4467,1470,1412,4822,0.9263790958108669,0.9185553857875438,0.9335144593939814,0.3048527581916217,0.2919167183746253,0.31810195781749356,0.9605442176870749,0.9489529244704009,0.9696534061108686
2000,other,rap,"other,rap",4467,887,864,4822,0.9263790958108669,0.9185553857875438,0.9335144593939814,0.18394856905848195,0.17316481525973643,0.19524025626459207,0.9740698985343855,0.9607224795113881,0.983112983473729
2000,other,rock,"other,rock",4467,1085,935,4822,0.9263790958108669,0.9185553857875438,0.9335144593939814,0.2250103691414351,0.21334377250922454,0.23711860870169962,0.8617511520737328,0.839445915494001,0.8814467927164868
2001,alcohol,country,"alcohol,country",1617,825,261,4742,0.34099536060733865,0.3275322690074815,0.3547178713384287,0.1739772247996626,0.1633497778033335,0.18513761558741543,0.31636363636363635,0.2849557617663769,0.34950614378365147
2001,alcohol,hiphop,"alcohol,hiphop",1617,1636,640,4742,0.34099536060733865,0.3275322690074815,0.3547178713384287,0.34500210881484605,0.33149807636530165,0.35875901784973097,0.39119804400978,0.36752973633488006,0.41538268604377354
2001,alcohol,rap,"alcohol,rap",1617,1109,654,4742,0.34099536060733865,0.3275322690074815,0.3547178713384287,0.23386756642766765,0.2219347610102762,0.24623497513686018,0.5897204688908927,0.5600552219681084,0.6187566675073933
2001,alcohol,rock,"alcohol,rock",1617,1308,392,4742,0.34099536060733865,0.3275322690074815,0.3547178713384287,0.2758329818641923,0.2631937698994643,0.28883809842021996,0.2996941896024465,0.27511089384611626,0.32546862518591707
2001,marijuana,country,"marijuana,country",1775,825,244,4742,0.3743146351750316,0.36054287741099644,0.3882914185417051,0.1739772247996626,0.1633497778033335,0.18513761558741543,0.2957575757575758,0.2650349101107847,0.32841020108507923
2001,marijuana,hiphop,"marijuana,hiphop",1775,1636,789,4742,0.3743146351750316,0.36054287741099644,0.3882914185417051,0.34500210881484605,0.33149807636530165,0.35875901784973097,0.48227383863080686,0.45782606116702507,0.5068057130137253
2001,marijuana,rap,"marijuana,rap",1775,1109,775,4742,0.3743146351750316,0.36054287741099644,0.3882914185417051,0.23386756642766765,0.2219347610102762,0.24623497513686018,0.6988277727682597,0.6707179260292966,0.725542063537966
2001,marijuana,rock,"marijuana,rock",1775,1308,314,4742,0.3743146351750316,0.36054287741099644,0.3882914185417051,0.2758329818641923,0.2631937698994643,0.28883809842021996,0.2400611620795107,0.21732815076650044,0.2643416192501118
2001,other,country,"other,country",4511,825,772,4742,0.9512863770560944,0.9446740574548339,0.9571555758019622,0.1739772247996626,0.1633497778033335,0.18513761558741543,0.9357575757575758,0.9162488409588242,0.9510821457922037
2001,other,hiphop,"other,hiphop",4511,1636,1610,4742,0.9512863770560944,0.9446740574548339,0.9571555758019622,0.34500210881484605,0.33149807636530165,0.35875901784973097,0.9841075794621027,0.9764545117305319,0.9893802214948588
2001,other,rap,"other,rap",4511,1109,1109,4742,0.9512863770560944,0.9446740574548339,0.9571555758019622,0.23386756642766765,0.2219347610102762,0.24623497513686018,1,0.9956965335701514,1
2001,other,rock,"other,rock",4511,1308,1249,4742,0.9512863770560944,0.9446740574548339,0.9571555758019622,0.2758329818641923,0.2631937698994643,0.28883809842021996,0.9548929663608563,0.9418255541077551,0.965206471451523
2002,alcohol,country,"alcohol,country",1493,838,187,4740,0.3149789029535865,0.30180537172464733,0.3284544754448659,0.17679324894514767,0.16609294958864132,0.1880220804415356,0.22315035799522673,0.19569256863105225,0.25318806865447463
2002,alcohol,hiphop,"alcohol,hiphop",1493,1431,582,4740,0.3149789029535865,0.30180537172464733,0.3284544754448659,0.3018987341772152,0.28889016152472546,0.3152307312716825,0.40670859538784065,0.3811952383616096,0.43272833345058226
2002,alcohol,rap,"alcohol,rap",1493,1305,657,4740,0.3149789029535865,0.30180537172464733,0.3284544754448659,0.27531645569620256,0.2626823946462582,0.28831742146118805,0.503448275862069,0.4759687930408359,0.5309072317861819
2002,alcohol,rock,"alcohol,rock",1493,1612,492,4740,0.3149789029535865,0.30180537172464733,0.3284544754448659,0.340084388185654,0.32662792352695597,0.35380186997668067,0.3052109181141439,0.2829131350986253,0.32844763529662463
2002,marijuana,country,"marijuana,country",1744,838,301,4740,0.3679324894514768,0.354211447997179,0.38186906439945634,0.17679324894514767,0.16609294958864132,0.1880220804415356,0.35918854415274465,0.326834056727559,0.39285166915937825
2002,marijuana,hiphop,"marijuana,hiphop",1744,1431,619,4740,0.3679324894514768,0.354211447997179,0.38186906439945634,0.3018987341772152,0.28889016152472546,0.3152307312716825,0.43256464011180995,0.40676374278676236,0.4587315311967079
2002,marijuana,rap,"marijuana,rap",1744,1305,798,4740,0.3679324894514768,0.354211447997179,0.38186906439945634,0.27531645569620256,0.2626823946462582,0.28831742146118805,0.6114942528735632,0.5843724370520509,0.6379521282303449
2002,marijuana,rock,"marijuana,rock",1744,1612,474,4740,0.3679324894514768,0.354211447997179,0.38186906439945634,0.340084388185654,0.32662792352695597,0.35380186997668067,0.29404466501240695,0.2720114104146345,0.31707082227326605
2002,other,country,"other,country",4551,838,768,4740,0.960126582278481,0.9540612277473733,0.9654326607784244,0.17679324894514767,0.16609294958864132,0.1880220804415356,0.9164677804295943,0.8951267276474373,0.9338878511571312
2002,other,hiphop,"other,hiphop",4551,1431,1400,4740,0.960126582278481,0.9540612277473733,0.9654326607784244,0.3018987341772152,0.28889016152472546,0.3152307312716825,0.9783368273934312,0.969008759777886,0.9849868061082666
2002,other,rap,"other,rap",4551,1305,1305,4740,0.960126582278481,0.9540612277473733,0.9654326607784244,0.27531645569620256,0.2626823946462582,0.28831742146118805,1,0.9963409599491763,1
2002,other,rock,"other,rock",4551,1612,1537,4740,0.960126582278481,0.9540612277473733,0.9654326607784244,0.340084388185654,0.32662792352695597,0.35380186997668067,0.9534739454094293,0.9417282088413412,0.9629989146350344
2003,alcohol,country,"alcohol,country",1938,947,331,4829,0.40132532615448335,0.38748122221518694,0.4153274706313388,0.1961068544212052,0.18505039439491466,0.2076508867285455,0.3495248152059134,0.3193039828006057,0.3809825974746601
2003,alcohol,hiphop,"alcohol,hiphop",1938,1468,700,4829,0.40132532615448335,0.38748122221518694,0.4153274706313388,0.30399668668461377,0.29108091668301317,0.3172265348484422,0.4768392370572207,0.45104421181149135,0.502756769545051
2003,alcohol,rap,"alcohol,rap",1938,1490,867,4829,0.40132532615448335,0.38748122221518694,0.4153274706313388,0.3085524953406502,0.29557913400746827,0.3218326244962551,0.5818791946308725,0.5563173867573079,0.607014257968338
2003,alcohol,rock,"alcohol,rock",1938,1697,538,4829,0.40132532615448335,0.38748122221518694,0.4153274706313388,0.35141851314972045,0.33797365975298016,0.36510138664055924,0.3170300530347672,0.295036972929188,0.3398606168446128
2003,marijuana,country,"marijuana,country",1876,947,244,4829,0.38848622903292607,0.37473017624555427,0.4024208933799639,0.1961068544212052,0.18505039439491466,0.2076508867285455,0.2576557550158395,0.23031209256327986,0.2869946084276467
2003,marijuana,hiphop,"marijuana,hiphop",1876,1468,746,4829,0.38848622903292607,0.37473017624555427,0.4024208933799639,0.30399668668461377,0.29108091668301317,0.3172265348484422,0.5081743869209809,0.4822725467128073,0.5340329898115388
2003,marijuana,rap,"marijuana,rap",1876,1490,1002,4829,0.38848622903292607,0.37473017624555427,0.4024208933799639,0.3085524953406502,0.29557913400746827,0.3218326244962551,0.6724832214765101,0.6478958992599451,0.696170977985726
2003,marijuana,rock,"marijuana,rock",1876,1697,360,4829,0.38848622903292607,0.37473017624555427,0.4024208933799639,0.35141851314972045,0.33797365975298016,0.36510138664055924,0.2121390689451974,0.19306517581862423,0.23253292991682734
2003,other,country,"other,country",4548,947,888,4829,0.9418098985297163,0.9347402922671366,0.9481661518191198,0.1961068544212052,0.18505039439491466,0.2076508867285455,0.9376979936642027,0.9198793860693897,0.9518596860047479
2003,other,hiphop,"other,hiphop",4548,1468,1389,4829,0.9418098985297163,0.9347402922671366,0.9481661518191198,0.30399668668461377,0.29108091668301317,0.3172265348484422,0.9461852861035422,0.9330602385364791,0.9569129893267097
2003,other,rap,"other,rap",4548,1490,1470,4829,0.9418098985297163,0.9347402922671366,0.9481661518191198,0.3085524953406502,0.29557913400746827,0.3218326244962551,0.9865771812080537,0.9789532784020686,0.9915582332649141
2003,other,rock,"other,rock",4548,1697,1526,4829,0.9418098985297163,0.9347402922671366,0.9481661518191198,0.35141851314972045,0.33797365975298016,0.36510138664055924,0.8992339422510313,0.8836856943001705,0.9129418145783642
2004,alcohol,country,"alcohol,country",1550,871,398,4891,0.31690860764669804,0.30391625872841815,0.33019058789584016,0.1780821917808219,0.1675143743002986,0.1891601041524198,0.4569460390355913,0.42355693239508113,0.4907197949696228
2004,alcohol,hiphop,"alcohol,hiphop",1550,1335,406,4891,0.31690860764669804,0.30391625872841815,0.33019058789584016,0.27295031690860766,0.26054688704596735,0.285713039478401,0.3041198501872659,0.2796686975971615,0.32971208858458795
2004,alcohol,rap,"alcohol,rap",1550,1639,739,4891,0.31690860764669804,0.30391625872841815,0.33019058789584016,0.3351052954406052,0.3219094398546846,0.34856196810799395,0.45088468578401464,0.4266353030652809,0.4753666667136232
2004,alcohol,rock,"alcohol,rock",1550,1586,322,4891,0.31690860764669804,0.30391625872841815,0.33019058789584016,0.32426906563075036,0.3111916853995348,0.3376244206678974,0.2030264817150063,0.18365508793660879,0.22385581302448393
2004,marijuana,country,"marijuana,country",2138,871,285,4891,0.4371294213862196,0.42318094464538847,0.45117730485626606,0.1780821917808219,0.1675143743002986,0.1891601041524198,0.32721010332950634,0.2963108814075919,0.35965466423345854
2004,marijuana,hiphop,"marijuana,hiphop",2138,1335,714,4891,0.4371294213862196,0.42318094464538847,0.45117730485626606,0.27295031690860766,0.26054688704596735,0.285713039478401,0.5348314606741573,0.5076389050346433,0.5618213427115765
2004,marijuana,rap,"marijuana,rap",2138,1639,1144,4891,0.4371294213862196,0.42318094464538847,0.45117730485626606,0.3351052954406052,0.3219094398546846,0.34856196810799395,0.697986577181208,0.6750063733302473,0.7200281864340788
2004,marijuana,rock,"marijuana,rock",2138,1586,340,4891,0.4371294213862196,0.42318094464538847,0.45117730485626606,0.32426906563075036,0.3111916853995348,0.3376244206678974,0.21437578814627994,0.19457757793210095,0.23557578512342917
2004,other,country,"other,country",4593,871,829,4891,0.9390717644653445,0.9319099699004704,0.9455339026296868,0.1780821917808219,0.1675143743002986,0.1891601041524198,0.9517795637198623,0.934811443955084,0.9646219247573082
2004,other,hiphop,"other,hiphop",4593,1335,1297,4891,0.9390717644653445,0.9319099699004704,0.9455339026296868,0.27295031690860766,0.26054688704596735,0.285713039478401,0.9715355805243445,0.9607434605602704,0.9795096401607994
2004,other,rap,"other,rap",4593,1639,1639,4891,0.9390717644653445,0.9319099699004704,0.9455339026296868,0.3351052954406052,0.3219094398546846,0.34856196810799395,1,0.9970848465308534,1
2004,other,rock,"other,rock",4593,1586,1357,4891,0.9390717644653445,0.9319099699004704,0.9455339026296868,0.32426906563075036,0.3111916853995348,0.3376244206678974,0.8556116015132409,0.8371236048914654,0.8723498601036778
2005,alcohol,country,"alcohol,country",1561,811,310,4791,0.3258192444166145,0.3125889524325389,0.3393308251722482,0.16927572531830515,0.15882152010015171,0.1802650645696756,0.38224414303329224,0.3488263460878984,0.4167926443525808
2005,alcohol,hiphop,"alcohol,hiphop",1561,1385,455,4791,0.3258192444166145,0.3125889524325389,0.3393308251722482,0.28908369860154454,0.2763170244011213,0.3021910765276317,0.3285198555956679,0.3039352517410073,0.35406689178558726
2005,alcohol,rap,"alcohol,rap",1561,1707,789,4791,0.3258192444166145,0.3125889524325389,0.3393308251722482,0.35629304946775203,0.3427490130858919,0.37006912312392704,0.46221441124780316,0.43838302549222097,0.4862175807599728
2005,alcohol,rock,"alcohol,rock",1561,1616,393,4791,0.3258192444166145,0.3125889524325389,0.3393308251722482,0.33729910248382383,0.32394336073878216,0.3509175761082482,0.2431930693069307,0.22260154393204298,0.26502061992150144
2005,marijuana,country,"marijuana,country",2093,811,368,4791,0.43686078063034856,0.42276823573793576,0.4510552468355091,0.16927572531830515,0.15882152010015171,0.1802650645696756,0.45376078914919854,0.4191849115797989,0.4887804695333256
2005,marijuana,hiphop,"marijuana,hiphop",2093,1385,689,4791,0.43686078063034856,0.42276823573793576,0.4510552468355091,0.28908369860154454,0.2763170244011213,0.3021910765276317,0.49747292418772565,0.4708242138873854,0.5241358053841584
2005,marijuana,rap,"marijuana,rap",2093,1707,1069,4791,0.43686078063034856,0.42276823573793576,0.4510552468355091,0.35629304946775203,0.3427490130858919,0.37006912312392704,0.6262448740480375,0.602738817905827,0.6491767724028067
2005,marijuana,rock,"marijuana,rock",2093,1616,473,4791,0.43686078063034856,0.42276823573793576,0.4510552468355091,0.33729910248382383,0.32394336073878216,0.3509175761082482,0.2926980198019802,0.2707246909755624,0.31566827694044053
2005,other,country,"other,country",4658,811,798,4791,0.9722396159465665,0.9670831022528203,0.9766225331139695,0.16927572531830515,0.15882152010015171,0.1802650645696756,0.9839704069050554,0.971999825654961,0.9910637968323955
2005,other,hiphop,"other,hiphop",4658,1385,1385,4791,0.9722396159465665,0.9670831022528203,0.9766225331139695,0.28908369860154454,0.2763170244011213,0.3021910765276317,1,0.9965517213922717,1
2005,other,rap,"other,rap",4658,1707,1707,4791,0.9722396159465665,0.9670831022528203,0.9766225331139695,0.35629304946775203,0.3427490130858919,0.37006912312392704,1,0.9972007108660079,1
2005,other,rock,"other,rock",4658,1616,1525,4791,0.9722396159465665,0.9670831022528203,0.9766225331139695,0.33729910248382383,0.32394336073878216,0.3509175761082482,0.9436881188118812,0.9310232493806114,0.9541909618778831
2006,alcohol,country,"alcohol,country",1552,875,268,4846,0.3202641353693768,0.30717242510433257,0.3336428110653737,0.1805612876599257,0.1698849930482642,0.19174844169903155,0.30628571428571427,0.2760923896667583,0.3382041106787948
2006,alcohol,hiphop,"alcohol,hiphop",1552,1221,499,4846,0.3202641353693768,0.30717242510433257,0.3336428110653737,0.2519603796945935,0.23983547387430937,0.264481534665799,0.4086814086814087,0.3810320345289551,0.43691207911907076
2006,alcohol,rap,"alcohol,rap",1552,1754,792,4846,0.3202641353693768,0.30717242510433257,0.3336428110653737,0.3619479983491539,0.3484296990039407,0.3756866609427739,0.45153933865450396,0.4280981595423154,0.4751949122340922
2006,alcohol,rock,"alcohol,rock",1552,1826,505,4846,0.3202641353693768,0.30717242510433257,0.3336428110653737,0.37680561287659925,0.36316235711738515,0.39064550332489906,0.27656078860898137,0.25626298871330877,0.2978092429360081
2006,marijuana,country,"marijuana,country",2025,875,299,4846,0.4178704085843995,0.40395188157675416,0.43192000820373183,0.1805612876599257,0.1698849930482642,0.19174844169903155,0.3417142857142857,0.3104853821663299,0.37435203875120776
2006,marijuana,hiphop,"marijuana,hiphop",2025,1221,563,4846,0.4178704085843995,0.40395188157675416,0.43192000820373183,0.2519603796945935,0.23983547387430937,0.264481534665799,0.4610974610974611,0.4328963674726055,0.48954614227345017
2006,marijuana,rap,"marijuana,rap",2025,1754,1064,4846,0.4178704085843995,0.40395188157675416,0.43192000820373183,0.3619479983491539,0.3484296990039407,0.3756866609427739,0.6066134549600912,0.5832557346299059,0.6294994010521032
2006,marijuana,rock,"marijuana,rock",2025,1826,507,4846,0.4178704085843995,0.40395188157675416,0.43192000820373183,0.37680561287659925,0.36316235711738515,0.39064550332489906,0.27765607886089816,0.25733100818695,0.29892712877928856
2006,other,country,"other,country",4690,875,841,4846,0.9678085018572018,0.9623457674402972,0.9725148159255773,0.1805612876599257,0.1698849930482642,0.19174844169903155,0.9611428571428572,0.9455351222811996,0.9725419144329357
2006,other,hiphop,"other,hiphop",4690,1221,1194,4846,0.9678085018572018,0.9623457674402972,0.9725148159255773,0.2519603796945935,0.23983547387430937,0.264481534665799,0.9778869778869779,0.9675367009931468,0.9850934766277913
2006,other,rap,"other,rap",4690,1754,1754,4846,0.9678085018572018,0.9623457674402972,0.9725148159255773,0.3619479983491539,0.3484296990039407,0.3756866609427739,1,0.9972755545932539,1
2006,other,rock,"other,rock",4690,1826,1704,4846,0.9678085018572018,0.9623457674402972,0.9725148159255773,0.37680561287659925,0.36316235711738515,0.39064550332489906,0.9331872946330778,0.9205061573427683,0.9440063138526393
2007,alcohol,country,"alcohol,country",1668,893,411,4648,0.3588640275387263,0.34508949577164477,0.37287347512227975,0.19212564543889846,0.1809505589284715,0.20381403927107847,0.46024636058230683,0.42724166743118797,0.49359742923922234
2007,alcohol,hiphop,"alcohol,hiphop",1668,1185,395,4648,0.3588640275387263,0.34508949577164477,0.37287347512227975,0.25494836488812395,0.24251900213273747,0.26778592446856414,0.3333333333333333,0.3066577408191137,0.3611029150193257
2007,alcohol,rap,"alcohol,rap",1668,1545,663,4648,0.3588640275387263,0.34508949577164477,0.37287347512227975,0.33240103270223753,0.3188952730337881,0.3461857942395917,0.429126213592233,0.4043314074558191,0.4542771882467219
2007,alcohol,rock,"alcohol,rock",1668,1635,446,4648,0.3588640275387263,0.34508949577164477,0.37287347512227975,0.35176419965576594,0.3380572073388186,0.36571793377363404,0.272782874617737,0.2514477952665498,0.29519821830381116
2007,marijuana,country,"marijuana,country",2001,893,298,4648,0.4305077452667814,0.4162291076537085,0.4449020223162802,0.19212564543889846,0.1809505589284715,0.20381403927107847,0.3337066069428891,0.3030053782044821,0.36585814003831674
2007,marijuana,hiphop,"marijuana,hiphop",2001,1185,577,4648,0.4305077452667814,0.4162291076537085,0.4449020223162802,0.25494836488812395,0.24251900213273747,0.26778592446856414,0.4869198312236287,0.45812975317702065,0.5157956914660078
2007,marijuana,rap,"marijuana,rap",2001,1545,829,4648,0.4305077452667814,0.4162291076537085,0.4449020223162802,0.33240103270223753,0.3188952730337881,0.3461857942395917,0.5365695792880258,0.511320533180134,0.5616348665738637
2007,marijuana,rock,"marijuana,rock",2001,1635,624,4648,0.4305077452667814,0.4162291076537085,0.4449020223162802,0.35176419965576594,0.3380572073388186,0.36571793377363404,0.381651376146789,0.3581060706491911,0.40575869865048025
2007,other,country,"other,country",4480,893,863,4648,0.963855421686747,0.9579798944030707,0.9689495386593764,0.19212564543889846,0.1809505589284715,0.20381403927107847,0.9664053751399776,0.9517968987834592,0.9768320754902743
2007,other,hiphop,"other,hiphop",4480,1185,1142,4648,0.963855421686747,0.9579798944030707,0.9689495386593764,0.25494836488812395,0.24251900213273747,0.26778592446856414,0.9637130801687763,0.9510004793969873,0.973311515485614
2007,other,rap,"other,rap",4480,1545,1532,4648,0.963855421686747,0.9579798944030707,0.9689495386593764,0.33240103270223753,0.3188952730337881,0.3461857942395917,0.9915857605177993,0.9852513111666198,0.9953145588274455
