ashes
bammy
baby bhang
blanket
blunt
bo-bo
bobo bush
bomber
boom
bud
broccoli
cheeba
chronic
cripple
dagga
dope
dinkie dow
ding
dona juana
dona juanita
flower power
flower tops
ganja
gasper
giggle smoke
giggle weed
good giggles
good butt
grass
green
hash
herb
hot stick
jane
jay
jolly green
jolly green giant
joy smoke
joy stick
mj
maryjane
mary jane
pot
roach
reefer
skunk
smoke
trees
weed
black mamba
bombay blue
fake weed
genie
k2
moon rocks
spice
zohai
airhead
blazer
bong rat
dankhead
doper
druggie
ent
hash head
herbalist
herbivore
kieffer
pothead
smoker
stoner
stonette
toker
weedhead
baked
blazed
blitzed
blown
blown out
blunted
bread
burned
caned
caramelyzed
crossfaded
crunched
crunk
dankrupt
faded
geeked
high
high as a kite
hurt
in like flint
keyed
krunked
pot-head
red
ripped
sketch
skunt
sloppy
smoked
stoned
strunk
stuck
zoned
blunt
bowl
bong
bubbler
doob
doober
doobie
fatty
glass
gravity bong
hogger
jay
joint
one-hitter
pax
percolator
piece
pipe
rig
roach
spiff
spliff
vape
water pipe
